q,c,sum_w,min_w,nnz
0.1,1,1.0,0.0,3470
0.1,3,1.0,0.0,2529
1.0,1,1.0,0.0,863
1.0,3,1.0,0.0,611
5.0,1,1.0,0.0,296
5.0,3,1.0,0.0,198
