q,empirical_F,paper_1_minus_1mt_pow_q,recip_1_minus_1mt_pow_1overq,mean_lambda
0.1,0.999,0.067,0.999,0.091
0.5,0.7503,0.2929,0.75,0.3332
1.0,0.4999,0.5,0.5,0.5
2.0,0.293,0.75,0.2929,0.6666
5.0,0.1295,0.9688,0.1294,0.8333
